Category,Title,Products
Superseded,810649: Critical Update,Windows 2000
Superseded,810833: Security Update (Windows 2000),Windows 2000
Superseded,811630: Critical Update (Windows 2000),Windows 2000
Superseded,814033: Critical Update,Windows 2000
Superseded,"814078: Security Update (Microsoft Jscript version 5.5, Windows 2000)",Windows 2000
Superseded,Critical Update for Office XP on Windows XP Service Pack 2 (KB885884),Windows XP
Superseded,Critical Update for Windows XP (KB885523),Windows XP
Superseded,Critical Update for Windows XP (KB885626),Windows XP
Superseded,Critical Update for Windows XP (KB888162),Windows XP
Superseded,Critical Update for Windows XP Media Center Edition 2004 (KB830786),Windows XP
Superseded,Cumulative Security Update for Internet Explorer 5.01 Service Pack 4 (KB867282),Windows 2000
Superseded,Cumulative Security Update for Internet Explorer 6 Service Pack 1 (KB867282),"Windows 2000, Windows XP"
Superseded,Cumulative Security Update for Internet Explorer 6 Service Pack 1 (KB896688),"Windows XP, Windows 2000"
Superseded,Important Update for SQL Server 2016 RTM (KB3210111),Microsoft SQL Server 2016
Superseded,Important Update for SQL Server 2016 RTM CU(KB3210110),Microsoft SQL Server 2016
Language Packs,Internet Explorer 8 for Windows XP with Language Interface Pack,Windows XP
Language Packs,Internet Explorer 8 Language Packs for Windows Server 2008,Windows Server 2008
Language Packs,Internet Explorer 8 Language Packs for Windows Server 2008 x64 Edition,Windows Server 2008
Language Packs,Internet Explorer 8 Language Packs for Windows Vista,Windows Vista
Language Packs,Internet Explorer 8 Language Packs for Windows Vista for x64-based Systems,Windows Vista
Superseded,Microsoft .NET Framework 2.0 Security Update for Windows Vista (KB974468),Windows Vista
Superseded,Microsoft .NET Framework 2.0 Security Update for Windows Vista for x64-based Systems (KB974468),Windows Vista
Superseded,Microsoft .NET Framework 2.0 Service Pack 1 Security Update for Windows 2000 (KB971110),Windows 2000
Superseded,Microsoft .NET Framework 2.0 Service Pack 1 Security Update for Windows Vista (KB974292),Windows Vista
Superseded,Microsoft .NET Framework 2.0 Service Pack 1 Security Update for Windows Vista for x64-based Systems (KB974292),Windows Vista
Superseded,Microsoft .NET Framework 2.0 Service Pack 2 Security Update for Windows Vista (KB974467),Windows Vista
Superseded,Microsoft .NET Framework 2.0 Service Pack 2 Security Update for Windows Vista for x64-based Systems (KB974467),Windows Vista
Superseded,Microsoft .NET Framework 3.5 Security Update for Windows Server 2003 and Windows XP x86 (KB982865),"Windows Server 2003, Windows XP, Windows Server 2003, Datacenter Edition"
Superseded,Microsoft .NET Framework 3.5 SP1 Security Update for Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB979911),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Security Update for Windows Vista SP1 and Windows Server 2008 x86 (KB979911),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB956250),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB982532),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 for x64-based Systems (KB982535),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 x86 (KB956250),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 x86 (KB982532),"Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 3.5 SP1 Update for Windows Vista SP1 and Windows Server 2008 x86 (KB982535),"Windows Server 2008, Windows Vista"
Superseded,"Microsoft .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 Security Update for x64-based Systems (KB979913)","Windows Server 2008, Windows Vista"
Superseded,"Microsoft .NET Framework 3.5, Windows Vista SP1, and Windows Server 2008 Security Update x86 (KB979913)","Windows Server 2008, Windows Vista"
Superseded,Microsoft .NET Framework 4.5.2 for Windows 8.1 (KB2934520),Windows 8.1
Superseded,Microsoft .NET Framework 4.5.2 for Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB2934520),"Windows Server 2012 R2, Windows 8.1"
Language Packs,Microsoft .NET Framework 4.5.2 Language Packs (KB2901983),"Windows Server 2008, Windows 7, Windows Server 2008 R2, Windows Vista"
Language Packs,Microsoft .NET Framework 4.5.2 Language Packs for Windows 8 (KB2938103),Windows 8
